                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.999,                 1.5082,                 1.6967,                 0.6899,                0.43333,                0.50044,                0.21303,                 2.0522,                 1.4844,                  1.445,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.9951,                 1.4356,                 1.6227,                 0.7286,                0.46667,                0.58754,                 0.2467,                 2.2201,                 1.4008,                 1.4251,               0.001769,               0.001769,               0.001769
                     37,                 1.8955,                 1.4305,                 1.6777,                0.59722,                0.53333,                0.55319,                0.23872,                 2.3214,                 1.5994,                 1.4688,              0.0017624,              0.0017624,              0.0017624
                     38,                 2.0564,                 1.5584,                 1.6716,                0.75701,                0.53333,                0.60846,                0.27198,                 2.1159,                 1.2592,                 1.4686,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.9796,                 1.4074,                 1.6901,                0.77303,                0.51667,                0.61279,                0.26648,                 2.1479,                 1.2969,                 1.4368,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.8993,                 1.3672,                 1.6825,                0.78197,                   0.45,                0.54072,                0.22622,                 2.3689,                 1.4122,                 1.5383,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.9513,                 1.3888,                 1.6759,                0.66125,                0.56667,                0.59101,                0.27786,                 2.2008,                 1.4365,                  1.453,               0.001736,               0.001736,               0.001736
                     42,                 1.9236,                 1.4989,                  1.585,                0.86266,                0.56667,                0.68001,                0.29518,                 2.0642,                  1.305,                 1.4194,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.8793,                 1.3182,                 1.5835,                0.69632,                0.53333,                0.61671,                0.26326,                 2.2391,                 1.3439,                 1.4958,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.8921,                  1.354,                  1.637,                0.64823,                 0.4915,                0.55758,                0.25258,                 1.8851,                 1.6175,                 1.4202,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.8823,                 1.3524,                 1.5663,                0.74245,                0.57665,                0.66277,                0.28346,                 2.0465,                 1.2023,                 1.3721,              0.0017096,              0.0017096,              0.0017096
